1756067219, 15m, 21075725, FT8, M1DBW, IO91CO, 223, 'Tx', N9AOL, EN51XO30SS, 291, -24
1756067231, 15m, 21075225, FT8, M1CAV, IO93LL, 223, 'Tx', DK9IP, JN48EX81EB, 230, -1
1756067232, 15m, 21075012, FT8, G4SZD, IO94DR, 223, 'Tx', DK9IP, JN48EX81EB, 230, 0
1756066980, 15m, 21074542, FT8, G7SLB, IO92QH, 223, 'Tx', KF9UG, EN71LH, 291, -16
1756067100, 15m, 21075287, FT8, G4DPZ, IO82XL72, 223, 'Tx', KF9UG, EN71LH, 291, -11
1756067202, 40m, 7075446, FT8, M7SZB, IO94FU, 223, 'Tx', EB1LA, IN73BI, 281, -16
1756067235, 20m, 14076059, FT8, M7LYG, IO93, 223, 'Tx', YT3SM, KN13DN, 296, -25
1756067235, 15m, 21075218, FT8, M1CAV, IO93LL, 223, 'Tx', KC2NJ, FN20US, 291, -17
1756067236, 20m, 14076083, FT8, M7LYG, IO93, 223, 'Tx', K4YT, FM19IA62, 291, -12
1756066964, 40m, 7075855, FT8, G7LHK, IO92CP, 223, 'Tx', PA1HEM, JO23WF68PK, 263, -5
1756067144, 40m, 7076223, FT8, M7NFV, JO02OQ, 223, 'Tx', PA1HEM, JO23WF68PK, 263, -9
1756067219, 40m, 7074377, FT8, M0ABG, JO02SF, 223, 'Tx', PA1HEM, JO23WF68PK, 263, -13
1756067220, 20m, 14076059, FT8, M7LYG, IO93, 223, 'Tx', TF4M, HP85FP, 242, -10
1756067232, 80m, 3574839, FT8, 2E0LOD, JO01GJ, 223, 'Tx', HB9DCO, JN37SM84, 287, -7
1756067231, 20m, 14076059, FT8, M7LYG, IO93, 223, 'Tx', K4SYT, EM90ET, 291, -16
1756066949, 20m, 14075750, FT8, M0SZL, IO91UL, 223, 'Tx', EA1N, IN73BM, 281, -4
1756066979, 20m, 14076215, FT8, M7NFV, JO02OQ, 223, 'Tx', EA1N, IN73BM, 281, -2
1756067009, 20m, 14074506, FT8, M0UNG, IO83WJ, 223, 'Tx', EA1N, IN73BM, 281, -8
1756067010, 20m, 14076400, FT8, ME0ITC, IO82, 223, 'Tx', EA1N, IN73BM, 281, -13
1756067024, 20m, 14076450, FT8, G0OSK, IO91XT, 223, 'Tx', EA1N, IN73BM, 281, 1
1756067039, 20m, 14074877, FT8, 2E0XDZ, IO91XC, 223, 'Tx', EA1N, IN73BM, 281, 0
1756067039, 20m, 14076108, FT8, 2E0OEW, JO01FJ, 223, 'Tx', EA1N, IN73BM, 281, -7
1756067189, 20m, 14076403, FT8, G1OVA, IO93GM, 223, 'Tx', EA1N, IN73BM, 281, -12
1756067204, 20m, 14076058, FT8, M7LYG, IO93, 223, 'Tx', EA1N, IN73BM, 281, -10
1756067219, 15m, 21075869, FT8, M7OJA, IO94HT, 223, 'Tx', SQ9HE, KO00LB, 269, -14
1756067222, 40m, 7075894, FT8, M0PFX, JO01DM, 223, 'Tx', IK4ISR, JN54QQ63, 248, -24
1756066965, 40m, 7075763, FT8, G7LHK, IO92CP, 223, 'Tx', R4DK, LO21XO, 54, -15
1756067055, 40m, 7074849, FT8, M7CWF, IO93JI, 223, 'Tx', R4DK, LO21XO, 54, -17
1756067202, 40m, 7075444, FT8, M7SZB, IO94FU, 223, 'Tx', DF3KO, JO54IB, 230, -3
1756067232, 40m, 7075047, FT8, G2KS, IO84FQ, 223, 'Tx', DF3KO, JO54IB, 230, 17
1756067220, 15m, 21075741, FT8, M0TNX, IO83ML44, 223, 'Tx', RN4WA, LO66PU, 54, 11
1756067232, 15m, 21074589, FT8, G6CZC, IO94EL, 223, 'Tx', EB1HYS, IN82MQ64, 281, -11
1756067232, 15m, 21074991, FT8, G4SZD, IO94DR, 223, 'Tx', KC3UUV, FM19JW, 291, -1
1756067246, 15m, 21074451, FT8, 2E0MRK, IO91PP, 223, 'Tx', KC3UUV, FM19JW, 291, -10
1756067232, 20m, 14076073, FT8, M7LYG, IO93, 223, 'Tx', AC3KE, FN11RX, 291, -14
1756067247, 20m, 14075255, FT8, ME7XOD, IO91, 223, 'Tx', AC3KE, FN11RX, 291, -13
1756067219, 15m, 21075723, FT8, M1DBW, IO91CO, 223, 'Tx', NY6Z, DM04LJ, 291, -24
1756067187, 40m, 7074380, FT8, M0ABG, JO02SF, 223, 'Tx', G6MND, IO94GX, 223, -5
1756067232, 20m, 14076057, FT8, M7LYG, IO93, 223, 'Tx', K4PRO, EL87SG27, 291, -21
1756067247, 15m, 21075324, FT8, G4DPZ, IO82XL72, 223, 'Tx', PA3DOL, JO22MT03, 263, -6
1756067055, 40m, 7075096, FT8, M7DTJ, IO83VM, 223, 'Tx', GW4TJC, IO73WB, 294, -18
1756067085, 40m, 7076999, FT8, G7CNF, IO81RE35, 223, 'Tx', GW4TJC, IO73WB, 294, 8
1756067115, 40m, 7076357, FT8, G1WFJ, IO82WM, 223, 'Tx', GW4TJC, IO73WB, 294, -1
1756067130, 40m, 7076220, FT8, M7NFV, JO02OQ, 223, 'Tx', GW4TJC, IO73WB, 294, -6
1756067175, 40m, 7074373, FT8, M0ABG, JO02SF, 223, 'Tx', GW4TJC, IO73WB, 294, -2
1756067190, 40m, 7075445, FT8, M7SZB, IO94FU, 223, 'Tx', GW4TJC, IO73WB, 294, -23
1756067234, 20m, 14074751, FT8, G8KHF, IO92KG, 223, 'Tx', W4.ZS2GK, FM07WV, 291, -15
1756067205, 20m, 14076057, FT8, M7LYG, IO93, 223, 'Tx', KF5TL, EM46DB, 291, -24
1756067233, 20m, 14076056, FT8, M7LYG, IO93, 223, 'Tx', M7IJS, IO83LG, 223, -17
1756067231, 15m, 21075203, FT8, M1CAV, IO93LL, 223, 'Tx', N9CIQ, EN44GT72, 291, 0
1756067247, 15m, 21075852, FT8, M7OJA, IO94HT, 223, 'Tx', N9CIQ, EN44GT72, 291, -21
1756067247, 15m, 21074451, FT8, 2E0MRK, IO91PP, 223, 'Tx', N9CIQ, EN44GT72, 291, -19
1756067247, 15m, 21075476, FT8, M0WRE, IO93CR, 223, 'Tx', N9CIQ, EN44GT72, 291, -6
1756067218, 15m, 21075941, FT8, M0KYU, IO83VL, 223, 'Tx', WA3RIZ, FN20HC41, 291, 0
1756067248, 20m, 14076408, FT8, G1OVA, IO93GM, 223, 'Tx', VE2FXL, FN46PC, 1, -18
1756067246, 20m, 14075254, FT8, ME7XOD, IO91, 223, 'Tx', HA5DI, JN97ML, 239, 0
1756067187, 40m, 7074372, FT8, M0ABG, JO02SF, 223, 'Tx', PH1M, JO22GF, 263, 2
1756067187, 40m, 7075888, FT8, M0PFX, JO01DM, 223, 'Tx', PH1M, JO22GF, 263, -12
1756067204, 40m, 7075447, FT8, M7SZB, IO94FU, 223, 'Tx', CT1ERW, IM58IQ, 272, -22
1756067234, 15m, 21075170, FT8, M1CAV, IO93LL, 223, 'Tx', F4ITK, JN23WC, 227, -14
1756067231, 15m, 21075015, FT8, G4SZD, IO94DR, 223, 'Tx', KD0KZE, EN35KD21, 291, 0
1756067142, 80m, 3574843, FT8, 2E0LOD, JO01GJ, 223, 'Tx', DF0RODL3FDD, JO40, 230, -24
1756067236, 40m, 7075677, FT8, G8RTK, IO93DU, 223, 'Tx', PA3DNA, JO32BL, 263, -23
1756067187, 15m, 21075403, FT8, G3YZO, JO02CA, 223, 'Tx', K2TER, FN13GE, 291, -21
1756067187, 15m, 21075732, FT8, M1DBW, IO91CO, 223, 'Tx', K2TER, FN13GE, 291, -18
1756067189, 15m, 21075945, FT8, M0KYU, IO83VL, 223, 'Tx', K2TER, FN13GE, 291, -16
1756067085, 40m, 7077001, FT8, G7CNF, IO81RE35, 223, 'Tx', DL0PF, JN68RN16, 230, -9
1756067248, 20m, 14075862, FT8, 2E0OEW, JO01FJ, 223, 'Tx', PD1BW, JO22QE, 263, -11
1756067232, 20m, 14077082, FT8, G8KVM, IO83WB, 223, 'Tx', 9A4FM, JN95EQ94, 497, -22
1756067189, 40m, 7074374, FT8, M0ABG, JO02SF, 223, 'Tx', ON4MAP, JO20LQ, 209, -5
1756067190, 40m, 7075890, FT8, M0PFX, JO01DM, 223, 'Tx', ON4MAP, JO20LQ, 209, -10
1756067085, 15m, 21075278, FT8, G4DPZ, IO82XL72, 223, 'Tx', PT2FHC, GH64CG, 108, -24
1756067175, 15m, 21075934, FT8, M0KYU, IO83VL, 223, 'Tx', PT2FHC, GH64CG, 108, -26
1756067220, 20m, 14076056, FT8, M7LYG, IO93, 223, 'Tx', PT2FHC, GH64CG, 108, -22
1756067086, 15m, 21075278, FT8, G4DPZ, IO82XL72, 223, 'Tx', KC2DVD, FN20WW63, 291, -10
1756067249, 20m, 14075240, FT8, ME7XOD, IO91, 223, 'Tx', LZ1KI, KN12PQ, 212, -11
1756067217, 15m, 21074588, FT8, G6CZC, IO94EL, 223, 'Tx', EA5JUX, IM97PP, 281, -1
1756067176, 40m, 7074372, FT8, M0ABG, JO02SF, 223, 'Tx', VA2GHZ, FN46WW, 1, -16
